mes,ipca,nucleo,igpm,cambio_med,selic_fim,focus,dcambio
2022-04-01,1.06,1.01,1.41,4.758015789473684,11.75,1,-4.326346680367021
2022-05-01,0.47,0.98,0.52,4.95505,12.75,0.29,4.057652816248347
2022-06-01,0.67,0.97,0.59,5.049209523809524,13.25,0.585,1.882444254807547
2022-07-01,-0.68,0.62,0.21,5.368071428571429,13.25,-0.02,6.123700485014627
2022-08-01,-0.36,0.64,-0.7,5.143286956521739,13.75,-0.155,-4.277634515877926
2022-09-01,-0.29,0.39,-0.95,5.236957142857142,13.75,0.29,1.8048270946743994
2022-10-01,0.59,0.46,-0.97,5.2503,13.75,0.32,0.2544586093502499
2022-11-01,0.41,0.38,-0.56,5.27465,13.75,0.395,0.46271086218394597
2022-12-01,0.62,0.49,0.45,5.242431818181818,13.75,0.62,-0.6126848332964174
2023-01-01,0.53,0.49,0.21,5.200681818181819,13.75,0.61,-0.7995742243788184
2023-02-01,0.84,0.48,-0.06,5.171688888888889,13.75,0.81,-0.5590429733207225
2023-03-01,0.71,0.36,0.05,5.211460869565218,13.75,0.65,0.7660907550763429
2023-04-01,0.61,0.5,-0.95,5.019733333333333,13.75,0.6,-3.7483402247985964
2023-05-01,0.23,0.49,-1.84,4.9828363636363635,13.75,0.45,-0.7377531607756227
2023-06-01,-0.08,0.11,-1.93,4.851566666666667,13.75,0.245,-2.669760299164836
2023-07-01,0.12,0.22,-0.72,4.800833333333333,13.75,0.205,-1.0512162887045706
2023-08-01,0.23,0.33,-0.14,4.90354347826087,13.25,0.28,2.1168588635684937
2023-09-01,0.26,0.3,0.37,4.93699,12.75,0.405,0.6797731161126253
2023-10-01,0.24,0.31,0.5,5.064842857142857,12.75,0.37,2.556727822298499
2023-11-01,0.28,0.37,0.59,4.89834,12.25,0.3,-3.3426739767097535
2023-12-01,0.56,0.47,0.74,4.897245,11.75,0.4673,-0.022357010930162957
2024-01-01,0.42,0.51,0.07,4.9143954545454545,11.75,0.35,0.3495943841828275
2024-02-01,0.83,0.42,-0.52,4.964389473684211,11.25,0.69,1.0121577969342432
2024-03-01,0.16,0.24,-0.47,4.980135,10.75,0.25,0.3166675192010304
2024-04-01,0.38,0.3,0.31,5.129095454545455,10.75,0.3,2.9472319882781095
2024-05-01,0.46,0.4,0.89,5.133047619047619,10.5,0.25,0.07702415897370418
2024-06-01,0.21,0.28,0.81,5.388975,10.5,0.2,4.865563928560479
2024-07-01,0.38,0.39,0.61,5.542047826086956,10.5,0.2,2.800887629480564
2024-08-01,-0.02,0.3,0.29,5.5526136363636365,10.5,0.1,0.19046662228712208
2024-09-01,0.44,0.33,0.62,5.541566666666666,10.75,0.32,-0.19914897804582665
2024-10-01,0.56,0.45,1.52,5.624108695652174,10.75,0.39,1.4785228830814345
2024-11-01,0.39,0.35,1.3,5.807057894736842,11.25,0.155,3.2011574729829073
2024-12-01,0.52,0.45,0.94,6.097028571428572,12.25,0.56,4.872747690125578
2025-01-01,0.16,0.62,0.27,6.021772727272727,13.25,0,-1.2419844119144097
2025-02-01,1.31,0.43,1.06,5.765645,13.25,1.36,-4.346465943143896
2025-03-01,0.56,0.47,-0.34,5.746810526315789,14.25,0.525,-0.32720196737909824
2025-04-01,0.43,0.49,0.24,5.783675,14.25,0.4715,0.6394283953795377
2025-05-01,0.26,0.38,-0.49,NA,14.25,0.38,NA
